"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1348748523.0839","1507458398.78078","1630396637.99106","1778368861.64065","1966329371.76067","2069051675.97278","2128607836.74432","2312228013.24168","2415843227.95422","2422397221.94491","2701674799.67626","2830644520.95673","2733006561.5965","2948370456.59642","3225525867.86741","2731404792.90943","3419287359.93198","3239184627.34556","3765110155.18733","3367822203.97218","3238654364.56165","3285948781.36833","3392124836.40284","3565352798.44846","3668236882.17076","3718236361.46908","3748965003.99227","3855139712.91164","3998368931.32728","4078019481.77759","3060060693.30604","3707115221.71699","4298752921.83629","4409838851.02012","",
"Africa Eastern and Southern","AFE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","535681654068.889","554227977177.007","541995431948.708","564852966865.091","583306419207.798","634816996657.034","682573528064.507","728335851212.928","747634256792.923","775440978549.993","823458528069.247","872301601115.857","924232782735.223","976815871466.404","1059731420345.46","1160566523971.01","1274411010331.26","1389391386921.89","1472235757923.5","1505913709491.59","1591082253124.54","1693925132689.6","1711314124070.93","1819610553651.16","1956361450710.94","2034040674659.57","2158430258732.2","2301903917949.73","2327801765018.75","2455311418121.55","2461127031441.78","2715757904193.45","3015387609037.86","3188091177308.54","3358022201790.47",
"Afghanistan","AFG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15864189722.3058","15224554096.5554","20123047324.3803","22278932459.9965","23184760643.0288","26587457905.4259","29047794273.3202","33788985660.3028","35313783778.1187","43009573651.0946","50028298436.3449","51116377179.4871","60931092223.9816","67669597049.6616","73169249312.8305","77739868999.5339","77790300893.8725","84288052074.0782","90563706789.4257","99263716985.9417","100842500976.582","86285361406.7876","86404553811.1829","91710014539.2963","",
"Africa Western and Central","AFW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1037357718856.91","1104640975925.26","1193167585211.96","1278168048919.25","1366109293696.6","1460603471981.3","1619654860927.58","1662751800963.31","1692766366949.39","1754477167128.71","1859501787711.32","2026726587784.05","2094027276854.24","2242188547325.7","2487574585507.4","2652487008756.96","2833012981735",
"Angola","AGO","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35444391416.2789","40550517455.9205","20593051039.4806","19503266043.0156","17017738264.8453","32754880908.3693","34841922168.5664","42032790770.525","43334924705.9167","41814416610.0344","45777957862.804","49219369557.9862","59179499478.9688","62849411126.6116","70913698213.0333","83813004196.2379","95412548854.3399","111918245802.38","121290616682.565","131519529289.502","139056775691.952","148439200655.976","170107319469.429","183512440854.782","203841059003.604","190283189913.791","189305603973.104","198430111560.447","212200392143.678","221700228851.995","196402587485.498","234841696168.758","260728980426.611","267625843016.224","290359718935.734",
"Albania","ALB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8719242305.49376","6389523279.00633","5892561772.5454","7077744395.78277","7695270415.242","8982706645.02057","9887419403.25738","8878089456.82198","9937371911.41405","11286844627.3299","12643489371.8493","14043626480.6811","15124853740.0268","16122175752.0196","17324527166.1027","18467499380.3879","20791947540.1793","23131311330.5095","25082880847.6297","26012918036.3666","28138315478.1301","29856695449.5732","30120420020.9283","31180959242.0226","32995300175.4819","34240470271.5455","35676571112.4957","37459655814.8324","39217645203.882","41672785279.0596","40507495975.986","44715662866.9597","53070422548.0448","57632532126.0848","63275895942.7641",
"Andorra","AND","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4823304975.79605","4557689155.83226","5001856977.27531","5691929091.2965","6003459714.14838","6404935596.22876",
"Arab World","ARB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1565755946273.22","1651751167370","1789983642151.94","1880635898007.18","1964134300663.69","2072260657677.9","2203193712379.19","2367801867773.89","2531487255047.78","2599186913285.16","2843110986607.98","2970251612578.27","3019750279419.13","3185114595498.99","3594588508898.5","3911661515445.77","4315089033673.71","4655639970726.72","4987182699845.16","5030128632582.48","5307133171544.21","5623000195593.47","6111578012643.59","6241169175700.03","6314359264161.45","5877198391767.63","5816626187419.33","6187716180793.8","6727319676444.69","6918595263414.5","6424393221128.88","7320568099911.81","8374394202139.73","8822817395925.8","9164406368012.05",
"United Arab Emirates","ARE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175862815008.527","177155426546.656","186280948418.57","191764702975.384","208382593753.821","230661845576.398","245886891658.755","274508208678.848","284799293040.082","281206906860.573","334594122723.574","346987898817.719","346973144731.602","381592358864.216","431585373964.286","471927153767.161","537150991858.65","575477788665.964","593324187763.5","564707689866.814","574645003987.687","623365944392.807","646069508790.803","658628928043.091","688145671088.009","612869145757.253","608359936980.873","632041437028.021","704007752274.59","729820514883.977","611081439451.78","644233156707.75","743389597402.417","803880928407.779","849598274772.967",
"Argentina","ARG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224188332568.237","256370813969.883","286615113392.461","319412870865.118","344679558696.094","340598528321.729","365211237965.713","401226572946.571","419832416217.591","410704753670.788","416594563309.632","406274630475.103","359310912511.252","403199587073.187","418093841970.64","468041504545.209","568762465740.155","641221306552.476","681124430220.427","640800278421.763","711794791177.186","774475577247.848","799850880557.188","830424664582.524","821243666294.275","848959683417.303","863207236895.477","1009263951777.66","1051149861699.34","1016089122555.92","984724060445.269","1167816126453.34","1319279474947.33","1341603252329.94","1351107952721.31",
"Armenia","ARM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9444218786.59964","8940278257.98785","4451683775.92162","4968774738.89045","5338338058.37828","6001501148.23487","6476718955.19532","7014342394.51339","7408132964.56023","7751264570.39818","8403263969.16627","9409799259.45405","10866154859.7751","12612732340.4259","14428108003.2103","16957992011.9571","19888484243.5458","23374969797.0554","25596039724.3057","21751101568.431","22672636926.0311","23905121367.1988","28120737961.2501","30326204334.4994","30662966874.8916","30505448341.392","32364395080.3965","37214214838.3669","38848121649.4888","44977629504.2597","42854458169.0708","45809032885.4145","55372468997.4978","62106308043.3037","66712863454.126",
"American Samoa","ASM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","742006587.77156","810495052.898654","845155203.975683","926262174.880716","1007160226.80549","982306758.295221","1071926831.10094","1160164962.34831","1233184792.77515","1295109156.48302","1375709704.2981","1329079567.7331","1368128429.59462","1478877417.54818","1605923056.25751","1779801757.18131","2066837546.14477","2318845766.95232","2369739742.52434","2093679158.38991","1946833331.12417","1942861118.40915","1880345033.99673","1814662010.0448","1838929004.02555","1765944570.33874","1792750662.72916","1841851547.08464","2126474732.96598","2325030290.85835","2046161698.55658","2295922764.1328","2644673091.56885","2812240307.62565","3005932903.11769",
"Australia","AUS","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","286286063990.795","295898319350.809","306755259408.896","329859103357.261","351259404645.077","365753600469.367","389099346817.891","411731121429.452","439328946274.439","464486680288.369","490505152124.87","517956830088.622","550653577654.902","577323743433.695","615130754632.649","641891560954.107","684978180322.294","729421949920.085","764950073458.173","843711830169.296","833750215313.28","901074218491.488","944757372014.428","1035808980991.94","1072277311566.56","1079313252546.17","1116133022929.95","1156953422313.79","1213204815278.53","1289553627780.79","1353335014949.38","1477673952729.91","1648430646279.74","1798514656893.21","1871745594182.92",
"Austria","AUT","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149498289785.965","159030569005.624","166595806770.466","171493947098.053","179144577391.29","186769705612.148","194228185620.403","200611800668.902","210324349512.88","216293648920.994","232005884265.1","234433169537.163","248692093883.398","258928476927.078","273568679794.955","285526550022.167","309941862493.169","324802040597.663","344438007359.344","339137499466.67","352027931846.674","371930322574.437","389495334591.863","404031208873.377","413711243282.085","423985128957.086","457586709759.297","469431967886.825","495518308655.702","534729904704.117","527584834776.118","573238564586.659","642451358145.948","643857220183.711","659538291660.969",
"Azerbaijan","AZE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38360162869.8079","39382441160.1054","31177891772.1595","24602873374.5913","20129986139.1744","18083545754.0884","18629758355.2592","20061833736.2933","22443795025.1326","25356097949.9343","27183963929.0921","30316808416.3868","33495197059.0962","37507504990.9654","41009698453.3108","50964301899.6066","70192094617.9954","87735230083.8043","103921781010.003","118049401443.255","127090031538.759","126513330052.276","140261574405.538","154517805868.261","162669717796.334","140815158037.451","133314014398.87","135736345883.15","144624337797.582","160719056708.669","152079420500.551","199651899134.305","213379981989.736","229941994326.275","246559083822.187",
"Burundi","BDI","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3306171324.7161","3599170868.07314","3709278431.29696","3566569946.04798","3497905939.23893","3288113192.62462","3071321638.63384","3082617714.05036","3274905877.32187","3275013901.92081","3413951775.70244","3455769300.77286","3656107596.56832","3659345899.17993","3911081999.67784","4128357070.51708","4527052338.93403","4822750720.97084","5163304537.72014","5356128029.60643","5723081604.58648","6061589359.64675","6416170661.33507","7180870389.52989","7801364647.63404","8810641482.9621","8672544526.83245","8764485319.4998","8954511427.0355","9576815858.5797","9977971277.88053","10879490984.4508","11885620046.0742","12677712696.6188","13406127629.5484",
"Belgium","BEL","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186732037487.743","197331584787.431","204867519945.362","209750166204.719","222854720883.184","232376652936.531","236299956354.702","247458041871.35","254673072503.888","266229271979.969","292204111111.111","301759031608.107","318307798007.558","327110233955.51","338782912548.787","352001708926.337","377258845625.056","396459954436.522","415597849908.875","417047880630.723","440742688388.069","455990965379.71","482514593066.606","500742651017.284","516329881756.63","526875506386.724","553524342166.756","576768682136.162","605596243249.344","657061802150.491","653343852324.534","711954589146.512","805380374301.647","825264435581.758","871260227044.935",
"Benin","BEN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6174425017.82328","6674162574.47839","6924641278.18433","7603574912.88235","7895406356.4431","8558336966.75962","9098004254.26105","9831721938.26447","10394772926.3158","11112027738.3551","12027736615.5748","12948150112.8674","13721745615.8788","14468723523.3064","15533914338.9905","16349258968.1162","17490099398.2218","19007959450.4401","20420580872.7632","20975883269.8035","21631499483.5744","22827323680.6371","24247664236.3808","26748581226.6548","29319572569.4586","30783169849.1756","33139256276.3922","34658579239.9593","36578611942.2762","39879141291.5087","42079218680.0485","45970615342.8682","52513064087.8693","57674029695.0729","63531653156.8642",
