"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","398268156.424581","473296089.385475","579608938.547486","684245810.055866","757039106.145251","864301675.977654","948994413.407821","1065363128.49162","1225810055.86592","1305474860.3352","1362067039.10615","1508659217.87709","1659776536.31285","1680223463.68715","1849411061.45251","1839207486.03352","1826138994.41341","1990803463.68715","2180507318.43575","1881063631.28492","2363943575.41899","2293013743.01676","2726393631.28492","2465043407.82123","2313385195.53073","2391841396.64804","2499117877.09497","2563517262.56983","2688102402.23464","2838143910.61453","2848406201.11732","2921801005.58659","3061556871.50838","3242394134.07821","2413701726.62848","2824767104.28028","3154132445.31878","3332806320.74332","",
"Africa Eastern and Southern","AFE","GNI (current US$)","NY.GNP.MKTP.CD","23463341092.531","24134739107.0123","26300186139.983","30878200149.4171","29297584108.0507","33055161003.3281","36222247557.1059","37803742628.5521","41047469050.5303","46259640717.9875","46780395797.3916","51326502999.3271","55737694076.7454","71779270174.5082","87730399723.0538","93179493251.6636","93667235140.6791","106730656614.794","121696680253.532","138969275574.165","173732890900.533","180962228769.7","173732001346.958","181283278249.588","164980574360.188","142077537955.158","153009819094.338","180300039157.176","195758871091.866","210486555430.333","241861920995.792","259748891183.894","226634406060.965","228472400652.331","231187100289.776","262226596865.736","262046707704.374","276966307180.065","257955158221.975","253790292683.347","274733313232.529","248656149689.067","255752865955.076","341642857107.453","425850331672.263","495998697566.243","555228747391.961","632618080207.629","672455805168.801","686505497583.119","811046713863.869","904113452619.279","918410548303.794","924748465756.743","943316799802.36","869689395684.891","808595463365.185","945530466515.132","983792124690.12","982518913714.599","915225174782.972","1061080180396.17","1161035631260.79","1150973311610.97","1258069106352.14",
"Afghanistan","AFG","GNI (current US$)","NY.GNP.MKTP.CD","548888848.888889","560000022.222222","557777806.666667","766666706.666667","815555562.222222","1026666677.77778","1428888871.11111","1708888882.22222","1402222182.22222","1437777737.77778","1784444426.66667","1868886653.33333","1631108937.77778","1771108944.44444","2202222228.88889","2417777777.77778","2611111162.22222","3017777697.77778","3371111037.77778","3775743789.47368","3716553247.16553","3551514995.9596","","","","","","","","","","","","","","","","","","","3411145674.07204","2824372441.02049","3886746599.72657","4582016675.61324","5291642598.0037","6280264337.36715","7100373840.59309","9877773213.94871","10107195992.8587","12378340930.5187","15885775064.3022","17781511431.23","19961261595.0253","20209353657.8054","20559672324.9094","19249499438.7455","18350475875.2999","18961769787.4548","18294513957.5523","19080662010.7479","20105156769.1907","14346089107.5906","14540297386.1968","17234567719.6546","",
"Africa Western and Central","AFW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","537376957721.199","481723870209.984","563973317050.984","641296940297.229","700729566797.371","791368163881.125","869914799831.856","756036875534.93","683987439660.877","672931816265.718","754254239440.517","810826037293.693","784169862083.79","833481910371.353","863433785008.288","783044906131.335","643581223284.067",
"Angola","AGO","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6684938832.80968","6684938832.80968","6684938832.80968","6684938832.80968","10027408249.2145","10027408249.2145","10603784541.197","3498025673.08989","3237547175.39543","1943279029.73498","4771491965.00864","5829658222.83079","6730623908.4876","5537455450.78712","4780893222.00189","7448734939.06306","7375089140.55224","13650936249.8552","16086223620.71","21063493970.0469","32940012222.6995","46203157632.0507","57667388175.1557","74821117368.6838","63484054938.5189","75712612170.385","102092420981.586","117631162045.945","122755567485.072","127708790750.385","85895384573.1888","50010057163.2154","69161228469.8929","73313113234.0482","64488157749.3216","44145038180.9309","61051288255.8458","96386998839.0889","76811861843.3195","73810626290.8687",
"Albania","ALB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1860537995.338","1898450116.55012","2097426250","2081196250","2051436250","2252990000","2026653750","1077859027.77778","617074990.170926","1219215468.95285","1894750864.46173","2948692798.61916","3306167280.18339","2343997477.84594","2676876892.69648","3359212262.12889","3689222173.07372","4185058644.71669","4624119308.46162","5952285931.80638","7575939040.97181","8418687429.19188","9412746291.08843","11414912597.6549","13322942019.0123","12143832417.4031","11967076163.795","12978220497.9665","12154401184.2324","13017104309.1501","13417705192.4535","11605729212.8406","12181255797.1686","13290550120.6132","15363144880.0786","15383374390.0695","14991621177.1744","17782485809.5054","18685946745.6367","23246168340.2057","26971002323.4954",
"Andorra","AND","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3462352923.13403","3268595543.70399","3576595365.25519","3525887959.23766","3917942681.21579","4213892002.70491",
"Arab World","ARB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","26118000046.8892","27667758324.4342","29834707841.578","33804618720.4902","37510656488.5919","41555343731.9449","49058025568.9832","60525452500.4493","76342743910.9221","152061387117.86","172654523822.628","213224993589.173","245403843166.259","270920070502.083","368292787254.763","489818435281.411","498360945630.389","469651653424.483","447071907615.823","447442277245.58","439312763611.838","413026323289.09","439237865026.728","438104196758.302","467887208252.173","649923807245.972","469297113758.274","472950321382.565","480543169673.427","498795664945.031","532196301176.461","574235706432.664","619085442209.15","605967296726.212","660475404601.92","763939541678.242","744581822181.237","739788697408.974","819769186283.7","981197064352.541","1203395855922.85","1447216346844.82","1691769733389.33","2126265509829.13","1827413724951.6","2143136830525.07","2546909980778.62","2802029733396.52","2873742846666.15","2929740618668.1","2581899298397.26","2539227284441.66","2615316129842.8","2908410455837.52","2948859935290.88","2591763651872.83","3079148637670.3","3729703174314.52","3614559123936.86","3703841600634.22",
"United Arab Emirates","ARE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","1013827078.89708","1404797336.87899","1949807451.15457","3755519161.4883","11483447260.4885","14704238186.5985","19108219775.658","24243553279.7889","23905226488.8171","33485412239.9281","45645874046.3914","51224321309.4525","48291066999.1828","43184024527.6491","42501107775.538","41960869171.343","33400856614.5464","36432286281.6671","36832778570.4168","42626953329.6105","54023555494.6881","53067268836.8292","55543310460.365","56568307273.2226","60027340288.7497","67623645518.9322","74877992399.891","81394151648.0523","79921625595.6433","84382386766.5078","109429271613.342","108376310415.248","110737372362.151","124291899251.191","148532334921.715","183503880190.606","226854458815.521","266289176310.415","319278420694.35","256161470388.019","300105186113.002","360968069707.284","384909648876.787","400681429680.054","414764318420.694","372018151667.801","371351990633.084","393294203621.511","428473530183.799","420051262927.161","347594186194.69","414443598747.447","502786394009.53","517969779142.274","538118110244.82",
"Argentina","ARG","GNI (current US$)","NY.GNP.MKTP.CD","16276085884.9568","20653136202.6061","18812286413.3057","18744951947.7684","26267861213.2167","29078234021.4454","29796191127.5341","24344243038.8777","26044571826.7842","31036571602.8723","30396317996.8419","33634600190.9299","34199500220.4044","52722220653.6761","72679890116.6394","53148109438.0634","51185002822.6107","56339203222.3998","88487714886.6314","68626165139.2133","76286574003.3819","76842107526.2031","79243829293.0471","98072174234.6778","110861462345.883","83420985728.03","101088864106.72","103754219523.247","121369592383.219","70212893608.0928","135150300109.313","183857364656.529","224521060685.899","233743662862.863","253743263100","253362890700","266647700700","286641204400","291542201400","276059280100","276655968900","260969968100","92763789032.7018","122451951871.839","146361588317.154","176153368006.277","224897476611.227","279994211725.862","352615480862.974","322744327792.305","409192468872.686","515004538945.145","533073608485.977","540185748561.537","515532241212.846","583615452086.538","545251641127.714","627200463933.824","506094045059.703","430166792070.565","375344057341.93","476802271007.631","621165221747.635","632729881149.353","620500316196.05",
"Armenia","ARM","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2173874035.52844","2067532467.53247","1063520722.19943","1200012815.03631","1311138636.33807","1507838735.18942","1641698946.23708","1736697182.63351","1952541820.81269","1900438465.96643","1970535935.80291","2182070540.84243","2458706347.955","2899936467.50868","3724967487.29965","5106475890.47117","6686478968.61547","9703722072.8786","12353321001.708","9006718596.46194","9718566996.01031","10502185416.5704","11042356845.1045","11804011412.1342","12131729269.7992","10981745035.9775","10791195836.7939","11933013892.6253","12658281183.7745","13807148386.5538","12439008672.029","13479935696.4488","18991671827.7595","23434106610.7827","24847533403.8652",
"American Samoa","ASM","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","75600000","77000000","67700000","68500000","79200000","84700000","105600000","127200000","139300000","151100000","166000000","178200000","189700000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","77307407.4074074","87640740.7407407","107796296.296296","131251851.851852","147388888.888889","162744444.444444","183866666.666667","211814814.814815","243670370.37037","261529629.62963","306907407.407407","379770370.37037","409692592.592593","433392592.592593","472137037.037037","495466666.666667","542725925.925926","598522222.222222","589192592.592593","652922222.222222","712266666.666667","768751851.851852","812099259.259259","856484814.814815","825933333.333333","847859259.259259","894440740.740741","968059259.259259","1088925925.92593","1240422222.22222","1414159259.25926","1485062962.96296","1318488888.88889","1230762962.96296","1217077777.77778","1277966666.66667","1255181481.48148","1317974074.07407","1352948148.14815","1392200000","1458703703.7037","1584474074.07407","1654751851.85185","1405837037.03704","1547107407.40741","1776303703.7037","1912800000","2122414814.81481",
"Australia","AUS","GNI (current US$)","NY.GNP.MKTP.CD","18639042982.2469","19661603145.8565","19980803196.9285","21478243436.519","23797763807.6422","26052324168.3719","27249604359.9367","30228804836.6088","32410565185.6904","36149125783.8601","40867686538.8298","44719367155.0987","51818925233.6449","63870595771.9411","88657332350.7738","97511948654.9229","105058096003.993","109574443679.743","117063751652.328","133256844257.639","148418941504.178","176304423545.803","190343153481.187","175907468447.07","191196980290.017","178141139273.033","179224258533.856","186050820539.968","231777608977.829","291704801206.409","300584141905.468","312887865438.212","312976717644.725","303828695896.571","315714285714.286","355487080487.081","387158279849.56","421019062421.251","387082683307.332","377500939967.414","404177792961.734","369008405056.987","385061088708.517","454588817705.3","597177407881.633","669932230528.963","719357920571.909","816938839601.162","1012948608447.62","896122503673.991","1104203146194.09","1342423020459.19","1500404222891.8","1537801711446.54","1429834007640","1323697450186.41","1178195299351.86","1289235106327.62","1382739590115.65","1345853874492.3","1298368829650.52","1539273615554.95","1626539969365.68","1653703105439.57","1693341471505.69",
"Austria","AUT","GNI (current US$)","NY.GNP.MKTP.CD","6691382264.62102","7421202160.263","7872214461.54585","8499531687.31877","9307253501.28949","10143676838.226","11052240299.1721","11742286478.2278","12596460993.4715","13767505949.4644","15383414659.963","17883389139.7731","22065908685.0408","29506403823.178","35228686690.2238","40075809433.5151","42914850809.2353","51449174090.4171","61899483559.1775","73782930519.8147","81826885768.9853","70676885260.0657","71020472695.0069","72019885858.7406","67824235609.6555","69238440409.6834","98530297431.2754","123555003265.128","133185760615.179","133086163286.531","166567654604.865","172986461991.75","194797977710.994","190162705548.326","203055123479.099","239174832810.154","235816090460.099","210739880482.58","215741440640.285","212979436461.39","194463389552.157","193775896820","211593301929.883","260120851968.117","298795038885.947","313283080118.288","334691543480.823","386367909771.766","432837598506.797","399116013671.836","393109195156.667","430410938011.674","407165076060.117","427714570810.04","439031381243.175","375674518639.57","393518778426.188","410993827536.471","447902034078.745","441977716161.568","439178173138.211","488391794817.046","473895475449.029","511893328592.95","523384071787.6",
"Azerbaijan","AZE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8890909090.90909","5348000000","445009225.092251","1575393848.46212","1194096387.4604","2413479413.94049","3167324031.41866","3953203901.76583","4461488756.7847","4768012931.52095","5178072731.05201","5562874939.46744","6042087549.01436","7024617521.22393","8166818629.56601","11734666354.9889","18470079299.789","28219348252.7001","43831089798.2035","41022888018.2835","49741091452.7785","61441003132.8908","65735414850.2186","70472288892.4862","73082959455.4451","51379123217.2905","35591412539.2769","39321618331.876","44853080880.9559","46318529411.7647","42422882352.9412","53687352941.1765","73522647058.8235","69347647058.8235","71581147352.9412",
"Burundi","BDI","GNI (current US$)","NY.GNP.MKTP.CD","193892004","200819998","211212002","230278000","257986008","157479111.111111","156048000","166971428.571429","169680000","178171428.571429","235283428.571429","243766857.142857","235406857.142857","295982248.687594","336273015.873016","412341587.301587","437150144.927536","537186666.666667","595765555.555556","772336666.666667","921813333.333333","966146666.666667","1005555555.55556","1073595481.44164","974118285.857489","1131604109.70254","1181080844.35491","1103051149.23924","1059467929.76958","1096300427.94028","1117211760.24058","1156153553.73995","1069379682.96184","928818579.07743","913654989.848138","988018268.88428","855125492.320396","960396267.915425","885470740.908452","796772713.286962","884786065.883137","864477157.825014","811709106.906995","766758030.795662","887956197.145997","1099326369.19285","1264550109.90148","1350312449.18461","1607531530.94505","1764475743.23131","2021267251.23096","2218331580.56321","2326835709.91274","2453391158.27712","2698322225.8552","3104359892.4664","2643216720.51299","2725061087.87066","2672837528.12331","2583934017.97374","2664225062.41347","2783915268.94475","3352709390.52411","2647964583.69545","2172597332.30885",
"Belgium","BEL","GNI (current US$)","NY.GNP.MKTP.CD","12015560481.3298","12746887551.0091","13611389534.4754","14610401476.4428","16338953142.3323","17809797461.5437","19126919957.1343","20506702120.6355","21933333592.5408","24319041682.726","27089802339.6531","30210254913.2473","37705546695.9949","48300143862.5543","56680050745.6504","66428486344.1922","71947319749.2163","83582818232.9769","102036695273.473","116682691249.312","126898081114.637","104870916992.612","91784983224.4393","86845298619.3294","83204003071.7677","86372091854.0662","120264512371.32","150162393300.918","163105286889.742","164539499385.749","205980494929.986","211977481393.975","236359025094.103","228457699393.657","250882987701.953","294350437876.3","285695114006.515","258857352277.853","264807068237.386","264261508381.506","242895045507.608","241174671366.339","262848882179.059","324156068000.195","374341455841.082","390533497082.023","414131146527.529","477472767241.296","529910842181.875","494515923328.515","488893682611.668","528029734267.511","509666801090.977","536136947871.256","548902514458.351","467533864636.64","478523735047.705","505375752659.53","548120195689.725","541251484269.019","534435843769.651","606210589079.448","600536157719.458","653552385885.698","675914715993.122",
"Benin","BEN","GNI (current US$)","NY.GNP.MKTP.CD","225482255.455014","234942177.019889","235707445.372139","253176507.391541","269046301.817679","289108671.641642","302825235.329871","305821945.28055","324923119.287761","328248234.288019","331127729.566977","331970374.676923","408231847.137933","504376074.185709","556954838.53267","675570202.26034","698408261.922237","749849780.214023","929143478.037752","1187431004.43507","1402351915.6882","1287920221.73451","1261778630.54846","1082048244.78243","1021533996.23385","1024412789.17532","1310102025.28918","1533812227.8114","1595446083.89953","1464137972.15978","1921032674.26561","1955598214.71795","1634867229.43653","2234725478.67986","1562942657.81931","2125371477.98198","2315095220.83592","2238481587.4834","2441702856.3055","3665050653.55803","3507693634.36761","3651633566.79224","4166070196.61166","5311078928.63798","6153203074.87323","6549889470.4113","7003871603.73307","8120524847.77096","9776380267.19374","9705498262.94296","9481809633.43508","10677821363.6638","11074623463.0036","12448828489.0859","13223585561.7576","11322499745.2605","11783269383.973","12669871034.6517","14207330378.0074","14320887678.382","15565378788.0486","17498318154.8737","17300026288.2602","19469373885.9293","21280255370.6185",
